Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.28     0.00   534316     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::string const&, unsigned long, unsigned long) const
  0.00      1.28     0.00   528995     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > >(__gnu_cxx::__normal_iterator<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > > const&, __gnu_cxx::__normal_iterator<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > > const&)
  0.00      1.28     0.00   524327     0.00     0.00  bool std::operator==<CountPair*>(std::move_iterator<CountPair*> const&, std::move_iterator<CountPair*> const&)
  0.00      1.28     0.00   524327     0.00     0.00  bool std::operator!=<CountPair*>(std::move_iterator<CountPair*> const&, std::move_iterator<CountPair*> const&)
  0.00      1.28     0.00   524287     0.00     0.00  std::move_iterator<CountPair*>::operator++()
  0.00      1.28     0.00   522860     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<std::string, std::string> >::construct<std::pair<std::string, std::string> >(std::pair<std::string, std::string>*, std::pair<std::string, std::string>&&)
  0.00      1.28     0.00   522860     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::string, std::string>*, std::vector<std::pair<std::string, std::string>, std::allocator<std::pair<std::string, std::string> > > >::operator++()
  0.00      1.28     0.00   522860     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > >, std::_Select1st<std::pair<std::string const, std::unordered_map<std::string, long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<std::string const, long> > > > >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(std::string const&) const
  0.00      1.28     0.00   522860     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(std::string const&) const
  0.00      1.28     0.00   522860     0.00     0.00  std::pair<std::string, std::string>::pair(std::pair<std::string, std::string> const&)
